Domain,Location on Site,Tech Spend USD,Sales Revenue USD,Social,Employees,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,Threads,X,Weibo,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
"cas.cz","ucl.cas.cz;clb.ucl.cas.cz/*;techtransfer.cas.cz","$5000","","0","0","Ustav pro ceskou literaturu AV CR","Science","88621","1578068","6262","74402","ph:+61-72-0062005;+61-752-937479","webmaster@cas.cz;info@cas.cz;office@img.cas.cz;webmaster@ujc.cas.cz","","","","","","","","","","","","","","","","Praha-Lysolaje","101","","CZ","2022-11-10","2025-02-18","2006-09-30","2025-03-08","-","GDPR Czech Republic"
"ccsd.net","cpd.ccsd.net","$2000","","500","10000","CCSD Magnet Schools","Business And Industrial","6158","101531","52992","59427","ph:+1-702-799-5000;+1-702-799-0591;+1-702-799-0303;+1-702-799-8492;+1-702-799-3300;+1-702-799-5427;+1-702-799-6570","webmaster@ccsd.net","twitter.com/ccsd_ell","facebook.com/ccsdfaces","","","","","","","","","","","","","N/A - Marketing - noemail; N/A - Board - noemail; N/A - President - noemail; N/A - Csuite - noemail","Las Vegas","NV","89121","US","2022-03-18","2025-02-27","2000-02-28","2025-03-04","-","-"
"chalmers.se","dance.chs.chalmers.se;huadong.m2.chalmers.se;ingrid.tfcs.chalmers.se","$10000","","5000","0","Chalmers University of Technology","Finance","56959","15561","3364","105970","ph:","press@chalmers.se;info@fcc.chalmers.se;info@mk.chs.chalmers.se;webmaster@chalmers.se;kontakt@chalmers.se","twitter.com/chalmersuniv","facebook.com/chalmerslibrary","linkedin.com/company/fraunhofer-chalmers-center","","","","instagram.com/chalmerslibrary","","","youtube.com/user/chalmerslibrary","tiktok.com/@chalmers.student","","","","","","","","SE","2022-03-15","2025-02-18","2001-02-23","2025-03-08","-","GDPR Sweden"
"chula.ac.th","ienext.eng.chula.ac.th","$5000","","200000","0","Chulalongkorn University","Technology And Computing","106012","28605","6894","27672","ph:","bundhit.e@chula.ac.th;pomthong.m@chula.ac.th;kiat.r@chula.ac.th;narin.h@chula.ac.th;boonchai.s@chula.ac.th;pimpana.p@chula.ac.th;wanchai.me@chula.ac.th;wisanu.s@chula.ac.th;pirongrong.r@chula.ac.th;natcha.t@chula.ac.th;chaiyaporn.p@chula.ac.th;parichart.s@chula.ac.th;chakkaphan.s@chula.ac.th;supaporn.chan@chula.ac.th;psy@chula.ac.th;commarts@chula.ac.th;fonac@chula.ac.th;webmaster@cbs.chula.ac.th;webmaster@sc.chula.ac.th;spscmail@chula.ac.th;info@eng.chula.ac.th;faa@chula.ac.th;ahs@chula.ac.th;pr.cuvet@chula.ac.th;cbs@cbs.chula.ac.th","twitter.com/chulalongkornu","facebook.com/chulastudentwellness","","","","","instagram.com/chulastagram","","","youtube.com/user/chulauniversity","tiktok.com/@chulalongkornuniversity","threads.net/@chulalongkorn.university","","","N/A - Other - noemail","Pathum Wan","Bangkok","","TH","2024-12-28","2025-02-06","2009-10-26","2025-03-08","-","-"
"cnnchile.com","data.cnnchile.com","$2000","","3000000","100","CNN Chile","Health And Fitness","53643","39435","34394","227722","ph:","a@cnnchile.com","twitter.com/cnnchile","facebook.com/cnnchile","","","","","instagram.com/cnnchile","","","youtube.com/user/cnnchile","","","","","N/A - Director - n/a@cnnchile.com","","","","","2024-10-31","2025-03-01","2009-07-28","2025-03-08","-","-"
"comicsbeat.com","comicsbeat.com","$250","","10000","0","The Beat","Art And Entertainment","19662","14875","18216","168353","ph:","info@comicsbeat.com","twitter.com/comicsbeat","facebook.com/thecomicsbeat","","","","","instagram.com/comicsbeat","","","","","","x.com/@comicsbeat","","N/A - Marketing - noemail; N/A - President - noemail","New York City","NY","10016","US","2025-02-14","2025-02-19","2010-10-03","2025-02-28","-","-"
"contentmarketinginstitute.com","cco.contentmarketinginstitute.com","$5000","","20000","100","Informa PLCInforma UK Ltd","Business And Industrial","33499","4120","2970","121184","ph:+1-800-952-5210","","twitter.com/cmicontent","facebook.com/contentmarketinginstitute","linkedin.com/company/content-marketing-institute","","pinterest.com/contentmktg","","instagram.com/cmicontent","","","","","","","","N/A - Bizdev - noemail; N/A - Account - noemail; N/A - Consultant - noemail; N/A - Marketing - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - President - noemail; N/A - Csuite - noemail; N/A - Founder - noemail","New York City","NY","10121","US","2023-06-22","2025-03-01","2010-05-27","2025-03-08","-","-"
"coventry.ac.uk","heed-refugee.coventry.ac.uk","$5000","$601655","2000","1000","Coventry University","Finance","155881","215921","9003","65824","ph:+44-75-57425182;+44-247-7658264","","twitter.com/cucoventry","facebook.com/coventryuniversity","linkedin.com/company/coventry-university","","","","instagram.com/cucoventry","","","","","","","","","Coventry","West Midlands","CV1","GB","2020-08-07","2025-02-06","2002-06-02","2025-03-08","-","GDPR United Kingdom"
"criticalhits.com.br","criticalhits.com.br","$10","","20000","0","Critical Hits","Family And Parenting","139461","2607547","78708","Outside Top 1m","ph:","contato@criticalhits.com.br","twitter.com/criticalhitsbr","facebook.com/criticalhitscombr","","","","","instagram.com/criticalhitsbr","","","youtube.com/user/criticalhitscombr","","","x.com/criticalhitsbr","","","","","","BR","2023-06-05","2025-01-23","2012-10-04","2025-03-08","-","-"
"csic.es","de-novo-sb.csic.es","$2000","$624150","2000","10000","Consejo Superior de Investigaciones Cientificas","Education","43206","17171","2554","83368","ph:","info@ceab.csic.es","twitter.com/ceabcsic","facebook.com/ceabcsic","","","","","","","","youtube.com/user/csicdptocomunicacion","","","","","","Madrid","MD","28006","ES","2024-11-23","2025-02-27","2010-01-04","2025-03-08","-","GDPR Spain"
"csis.org","chinapower.csis.org","$5000","","2000","100","Center For Strategic And International Studies","Business And Industrial","15588","3962","2247","50249","ph:+1-202-775-3199;+1-202-775-3242;+1-202-775-3211;+1-202-775-3173","webmaster@csis.org;aschwartz@csis.org;skodner@csis.org;ecolbran@csis.org;cdiamond@csis.org;pmontfort@csis.org;druy@csis.org;externalrelations@csis.org;epalomaa@csis.org;yjain@csis.org","twitter.com/csis","facebook.com/csis.org","","","","","instagram.com/csis","","","youtube.com/user/csisdc","","","x.com/csis","","N/A - Marketing - n/a@csis.org; N/A - Sales - n/a@csis.org; N/A - Director - n/a@csis.org; N/A - Manager - n/a@csis.org; N/A - President - n/a@csis.org; N/A - Csuite - n/a@csis.org","Washington","DC","20036","US","2023-08-22","2025-03-01","2005-09-30","2025-03-06","-","-"
"kcl.ac.uk","climatelaw-exhibition.er.kcl.ac.uk","$10000","","10000","1000","King's College London  University of London","Science","36453","3244","1737","35767","ph:+1-207-922-7800","","twitter.com/kclalumni","facebook.com/kclalumni","","","","","instagram.com/kclalumni","","","youtube.com/user/csikcl","","","","","N/A - Director - noemail","London","ENG","WC2R","GB","2025-01-06","2025-02-27","2008-10-29","2025-03-08","-","GDPR United Kingdom"
"kemdikbud.go.id","gtkdikmendiksus.kemdikbud.go.id","$2000","","1500000","0","LLDIKTI Wilayah XVI","Art And Entertainment","58862","226683","Outside Top 1m","14818","ph:","pengaduan@kemdikbud.go.id","twitter.com/kemdikbud_ri","facebook.com/kemdikbud.ri","","","","","instagram.com/kemdikbud.ri","","","","","","","","","English","WV","24832","US","2025-01-06","2025-01-06","2012-03-03","2025-03-08","-","-"
"kemkes.go.id","bbpkjakarta-nakes.kemkes.go.id;lokawaikabubak.litbang.kemkes.go.id","$2000","","500","0","Slot 777","Science","195940","1002576","Outside Top 1m","33910","ph:","","twitter.com/ropegkemkes","facebook.com/ropegkemkes","","","","","instagram.com/pkk_kemkes","","","youtube.com/user/binfaralkes","","","","","","","","","","2022-12-03","2025-02-27","2012-05-24","2025-03-01","-","-"
"kku.ac.th","admissions.kku.ac.th;th.kku.ac.th;research.kku.ac.th;nueng.kku.ac.th","$2000","$69922","10000","0","KHON KAEN UNIVERSITY","Science","231362","2266058","11313","32711","ph:","info@kku.ac.th","twitter.com/kkunews","facebook.com/kkulib","","","","","","","","youtube.com/user/kkulib","","","","","","","","","TH","2022-09-29","2025-01-23","2003-02-12","2025-03-08","-","-"
"ku.ac.th","vnsp.vettech.ku.ac.th","$2000","","0","0","Kasetsart University","","192685","1182504","8229","42808","ph:","www@ku.ac.th","twitter.com/kasetsart_ku","","","","","","instagram.com/kasetsart_ku","","","","","","","","","","","","TH","2025-01-21","2025-01-21","2004-10-15","2025-03-08","-","-"
"ku.edu.tr","kusig.ku.edu.tr","$2000","","0","100","KoÃ§ University","Science","45504","44295","19503","204828","ph:+1-212-338-1000;+1-212-338-1205","info@ku.edu.tr;information@ku.edu.tr;elearning@ku.edu.tr","","facebook.com/kuglobalaid","linkedin.com/company/kocuniversity","","","","","","","","","","","","","","","","TR","2021-12-14","2025-02-06","2000-03-03","2025-03-08","-","-"
"naacpldf.org","naacpldf.org","$2000","","100000","100","Earl Warren Legal Training Program Inc","Art And Entertainment","72227","16472","14540","132627","ph:+1-212-965-2200;+1-202-682-1300","rcutting@naacpldf.org;webmaster@naacpldf.org;development@naacpldf.org","twitter.com/naacp_ldf","facebook.com/naacpldf","","","","","instagram.com/naacp_ldf","","","","","","","","N/A - Founder - n/a@naacpldf.org","New York City","NY","10006","US","2021-11-12","2025-03-01","2001-11-29","2025-03-01","-","-"
"nationaljournal.com","membership.nationaljournal.com","$5000","","100000","100","National Journal Group","Law  Govt And Politics","40992","9518","6759","182748","ph:+1-202-833-8069;+1-800-515-9185;+1-202-266-7900;+1-800-952-5210;+1-800-613-6701;+1-202-266-7600;+1-202-266-7000;+1-866-467-8688","service@nationaljournal.com;rfournier@nationaljournal.com;jderlega@nationaljournal.com;earlybird@nationaljournal.com;thenextamerica@nationaljournal.com;push@nationaljournal.com;mgay@nationaljournal.com;jkraushaar@nationaljournal.com;readers@nationaljournal.com;cfrates@nationaljournal.com;hotmail@nationaljournal.com;jross@nationaljournal.com;healthcare@nationaljournal.com;ehayden@nationaljournal.com;membership@nationaljournal.com;kroberts@nationaljournal.com;mhirsh@nationaljournal.com;jtankersley@nationaljournal.com;staylor@nationaljournal.com;mcooper@nationaljournal.com;daniellew@nationaljournal.com;christine.hayek@nationaljournal.com;david.hirsch@nationaljournal.com;vlionmonroe@nationaljournal.com;tierney.dodge@nationaljournal.com;njadvertising@nationaljournal.com;mbroemmelsiek@nationaljournal.com;hmckeon@nationaljournal.com;privacy@nationaljournal.com;permissions@nationaljournal.com;dmca@nationaljournal.com;eakhtarzandi@nationaljournal.com;abari@nationaljournal.com","twitter.com/nationaljournal","facebook.com/nationaljournal","linkedin.com/company/national-journal","","","","","","","","","","","","N/A - Unknown - n/a@nationaljournal.com; N/A - Other - n/a@nationaljournal.com; N/A - Director - n/a@nationaljournal.com; N/A - Board - n/a@nationaljournal.com; N/A - President - n/a@nationaljournal.com; N/A - Csuite - n/a@nationaljournal.com","Washington","DC","20037","US","2023-07-18","2025-01-23","2000-10-14","2025-03-01","-","-"
"nc.gov","hpp.nc.gov","$10000","","500","1000","MB3 Inc","Law  Govt And Politics","2949","190684","3468","8895","ph:+1-800-625-2267;+1-919-733-7974;+1-800-688-8349;+1-855-408-1212;+1-844-208-4018;+1-877-368-4968;+1-866-380-9816","","twitter.com/ncdol","facebook.com/nclabor","","","","","instagram.com/nc_labor","","","youtube.com/user/ncdeptoflabor","","","","","","","","","US","2024-11-19","2025-02-27","2002-09-28","2025-03-08","-","-"
"ncnu.edu.tw","cmn-hant.overseas.ncnu.edu.tw","$2000","","0","0","National Chi Nan University","Education","329547","2582056","23828","Outside Top 1m","ph:+61-4-92910960","","","","","","","","","","","","","","","","","Nantou","TAIWAN","","TW","2025-02-06","2025-02-06","2000-02-29","2025-03-08","-","-"
"net.hr","zagorje-international.net.hr","$2000","","20000","0","Net.hr","Art And Entertainment","65834","64729","110117","65168","ph:","mail@webshop.net.hr","twitter.com/nethr","facebook.com/net.hr","","","","","instagram.com/net.hr_","","","youtube.com/user/sprdex","tiktok.com/@net.hr","","x.com/nethr","","","Zagreb-dio","","10000","HR","2024-10-20","2024-12-17","2006-06-20","2025-03-08","-","GDPR Croatia"
"newmexico.gov","edd.newmexico.gov","$500","","0","10","New Mexico Economic Development Department","Law  Govt And Politics","10732","617230","18933","71595","ph:+1-505-476-9700;+1-505-827-0700","","","","","","","","","","","","","","","","","Santa Fe","NM","87501","US","2024-11-12","2025-03-01","2004-09-01","2025-03-08","-","-"
"nielsen.com","preprod.nielsen.com","$10000","$291666667","150000","10000","Nielsen","Business And Industrial","3803","928","988","3068","ph:+1-646-654-5000;+1-800-864-1224;+1-646-654-4602;+1-323-794-2558","elizabeth.wolf@nielsen.com;jennifer.frighetto@nielsen.com;julia.monti@nielsen.com;alana.johnson@nielsen.com;kristie.bouryal@nielsen.com;kate.vanek@nielsen.com;lynne.morrison@nielsen.com;nevena.nikolic@nielsen.com;rob.kass@nielsen.com;marisa.grimes@nielsen.com;liz.zale@nielsen.com;arjun.trehan@nielsen.com;sonya.ford@nielsen.com;cristina.papini@nielsen.com;neil.beston@nielsen.com;haley.hastings@nielsen.com;matt.anchin@nielsen.com;amanda.wisniewski@nielsen.com;meg.chari@nielsen.com;kelli.beckel@nielsen.com;privacy.department@nielsen.com;connie.kim@nielsen.com;fernanda.paredes@nielsen.com;ben.gold@nielsen.com;sarah.muratore@nielsen.com;lauren.pabst@nielsen.com;doug.serton@nielsen.com;mark.yamada@nielsen.com;landon.oakum@nielsen.com;carole.robinson@nielsen.com;lisset.vega@nielsen.com;dan.chapman@nielsen.com","twitter.com/nielsen","facebook.com/nielsen","linkedin.com/company/nielsen","","","","instagram.com/nielsenpics","","","youtube.com/user/thenielsencompany","tiktok.com/@nielsenglobal","","x.com/nielsen","","N/A - Director - n/a@nielsen.com; N/A - President - n/a@nielsen.com; N/A - Csuite - n/a@nielsen.com","Evanston","IL","60201","US","2025-01-06","2025-02-06","2007-10-01","2025-03-08","-","-"
"ntpu.edu.tw","cl.ntpu.edu.tw","$2000","","0","0","National Taipei University","Finance","206917","627473","92722","Outside Top 1m","ph:+61-28-6741111","","","facebook.com/ntpusu","","","","","","","","","","","","","","NewTaipei","NWT","","TW","2024-12-28","2025-02-27","2000-04-08","2025-03-08","-","-"
"ntust.edu.tw","ltic-course.ntust.edu.tw","$2000","","0","0","National Taiwan University of Science and Technology","Technology And Computing","257364","816733","27601","214181","ph:","pwkuan@ccnlab.csie.ntust.edu.tw;cyh@ccnlab.csie.ntust.edu.tw;tdw@ccnlab.csie.ntust.edu.tw;w180112@ccnlab.csie.ntust.edu.tw;frankwu@ccnlab.csie.ntust.edu.tw","","facebook.com/ntustarch","","","","","","","","","","","","","","","","","TW","2025-01-06","2025-01-23","2000-03-01","2025-03-08","-","-"
"nust.edu.pk","icwees.nust.edu.pk","$500","","2000","0","National University of Science and Technology","Science","220677","122580","82523","Outside Top 1m","ph:","ugadmissions@nust.edu.pk;satadmissions@nust.edu.pk;fee@nust.edu.pk;fee.affairs@nust.edu.pk;rector@nust.edu.pk;webmaster@nust.edu.pk","twitter.com/nustseecs","facebook.com/nust.seecs","","","","","instagram.com/nustgram","","","","","","","","N/A - Board - noemail; N/A - President - noemail","ایچ-12","IS","44000","PK","2024-12-28","2025-01-23","2000-06-18","2025-03-08","-","-"
"outlookindia.com","rcms.outlookindia.com","$1000","","200000","10","Outlook India","Art And Entertainment","28192","210","1070","17309","ph:+44-33-33545400;+44-33-46004506","yourhelpline@outlookindia.com;letters@outlookindia.com;freespeech@outlookindia.com;submissions@outlookindia.com;outlook@outlookindia.com;queries@outlookindia.com;indranil@outlookindia.com;edit@outlookindia.com;mail@outlookindia.com;feedback@outlookindia.com;kkhattar@outlookindia.com;amit.mishra@outlookindia.com;gagan@outlookindia.com;grievances@outlookindia.com","twitter.com/outlookindia","facebook.com/outlookindia","linkedin.com/company/outlook","","","","instagram.com/outlookindia","","","youtube.com/user/outlookmagazine","","","","","N/A - Bizdev - n/a@outlookindia.com; N/A - Other - n/a@outlookindia.com; N/A - Sales - n/a@outlookindia.com; N/A - Director - n/a@outlookindia.com; N/A - Manager - n/a@outlookindia.com; N/A - President - n/a@outlookindia.com","","","","IN","2023-09-19","2024-11-02","2002-01-24","2025-03-08","-","-"
"telkomuniversity.ac.id","bis.telkomuniversity.ac.id;btp.telkomuniversity.ac.id;bpa.telkomuniversity.ac.id","$5000","$632713","200000","0","Universitas Telkom","Art And Entertainment","233759","789042","11044","91635","ph:","info@telkomuniversity.ac.id;sekpim@telkomuniversity.ac.id;info@io.telkomuniversity.ac.id;mridhaa@telkomuniversity.ac.id","twitter.com/iotelkomuniv","facebook.com/telkomuniversity","linkedin.com/company/telkom-university","","pinterest.com/telkomuniv","","instagram.com/telkomuniversity","","","youtube.com/user/soctelkomuniv","tiktok.com/@universitastelkom","","","","","Bandung","JB","","ID","2023-12-01","2025-02-18","2013-08-29","2025-03-08","-","-"
"tensquaregames.com","tensquaregames.com","$1000","","1000","0","Ten Square Games","Sports","80466","97111","806155","45691","ph:","support@tensquaregames.com;partnerships@tensquaregames.com;contact@tensquaregames.com","twitter.com/tensquaregames","facebook.com/tensquaregames","","","pinterest.com/tensquaregames","","instagram.com/tensquaregames","","","","","","","","N/A - Software - n/a@tensquaregames.com","Berlin Friedrichshain","BE","10245","DE","2021-11-12","2025-02-23","2012-01-07","2025-03-08","-","GDPR Germany"
"timesleader.com","timesleader.com","$1000","","2000","0","The Times Leader","Sports","13081","16691","12548","93292","ph:+1-570-829-5537;+1-704-897-6020;+1-570-341-1400;+1-866-863-4359;+1-570-991-6393;+1-704-897-6044","tvenesky@timesleader.com","","facebook.com/timesleader","","","pinterest.com/timesleader","","instagram.com/timesleaderphoto","","","youtube.com/user/timesleadervideo","","","","","N/A - Other - n/a@timesleader.com; N/A - Marketing - n/a@timesleader.com; N/A - Sales - n/a@timesleader.com; N/A - Director - n/a@timesleader.com; N/A - Board - n/a@timesleader.com; N/A - Manager - n/a@timesleader.com; N/A - President - n/a@timesleader.com","Wilkes Barre","PA","18701","US","2023-11-09","2025-01-05","2000-06-20","2025-03-08","-","-"
"tophat.com","tophat.com","$5000","","1000","100","Top Hat","Education","7001","5874","46412","27183","ph:+1-916-445-1254;+1-830-396-4814","support@tophat.com;info@tophat.com;legal@tophat.com;copyright@tophat.com;privacy@tophat.com;press@tophat.com;partnerships@tophat.com;accessibility@tophat.com","twitter.com/tophat","facebook.com/tophatu","","","","","instagram.com/tophat","","","","","","x.com/tophat","","N/A - Engineering - n/a@tophat.com; N/A - Marketing - n/a@tophat.com; N/A - Director - n/a@tophat.com; N/A - Board - n/a@tophat.com; N/A - President - n/a@tophat.com; N/A - Csuite - n/a@tophat.com; N/A - Founder - n/a@tophat.com","","","","","2022-08-26","2025-03-04","2004-05-19","2025-03-08","-","California CCPA"
